source_file,sheet,company,email,phone,channel,email_ok,email_reason,phone_ok,phone_reason,city,usdot
1226 NorCal CARB Mobile - Darryl Hot Leads CRM .csv,(csv),"Sundance Stage Lines, Inc",,619-525-1570,phone_only,FAKE,domain_not_company:apexfenceok.com,YES,ok,San Diego,184090
1226 NorCal CARB Mobile - Darryl Hot Leads CRM .csv,(csv),INQUIPCO,jerry@inquipco.com,(949) 818-9167,email+phone,YES,ok,YES,ok,Las Vegas,347085
1226 NorCal CARB Mobile - Darryl Hot Leads CRM .csv,(csv),"Steve Wills Trucking & Logging, LLC.",swillstruck@aol.com,,email_only,YES,ok,MISSING,missing,Fortuna,256813
Partnership_Outreach_Sacramento_2026-07-05.csv,(csv),Chevron West (Tow Truck Equipment),,(916) 371-7188,phone_only,MISSING,no_col,YES,ok,Sacramento,
Partnership_Outreach_Sacramento_2026-07-05.csv,(csv),Sac Truck Depot,,(916) 488-1100,phone_only,MISSING,no_col,YES,ok,Sacramento,
Partnership_Outreach_Sacramento_2026-07-05.csv,(csv),Western Truck Center,,(916) 375-3040,phone_only,MISSING,no_col,YES,ok,West Sacramento,
Partnership_Outreach_Sacramento_2026-07-05.csv,(csv),B J's Gears & Truck Sales,,(916) 372-3518,phone_only,MISSING,no_col,YES,ok,West Sacramento,
Partnership_Outreach_Sacramento_2026-07-05.csv,(csv),Sac Valley Diesel,,(916) 514-1717,phone_only,MISSING,no_col,YES,ok,Sacramento,
Partnership_Outreach_Sacramento_2026-07-05.csv,(csv),Truck Parking Sacramento,,(916) 304-5022,phone_only,MISSING,no_col,YES,ok,Sacramento,
Partnership_Outreach_Sacramento_2026-07-05.csv,(csv),Golden State Cali Repair / Yodha Logistic,,(279) 321-9280,phone_only,MISSING,no_col,YES,ok,Sacramento,
Partnership_Outreach_Sacramento_2026-07-05.csv,(csv),RecNation Storage,,(916) 395-5563,phone_only,MISSING,no_col,YES,ok,Sacramento,
Partnership_Outreach_Sacramento_2026-07-05.csv,(csv),Angela's Registration Services,,(916) 821-7086,phone_only,MISSING,no_col,YES,ok,West Sacramento,
Partnership_Outreach_Sacramento_2026-07-05.csv,(csv),Sacramento Registration Service,,(916) 480-2700,phone_only,MISSING,no_col,YES,ok,Sacramento,
Partnership_Outreach_Sacramento_2026-07-05.csv,(csv),3 Minute Vehicle Registration Services,,(916) 549-8318,phone_only,MISSING,no_col,YES,ok,Sacramento,
Partnership_Outreach_Sacramento_2026-07-05.csv,(csv),Teichert Construction,,(916) 484-3011,phone_only,MISSING,no_col,YES,ok,Sacramento,
Partnership_Outreach_Sacramento_2026-07-05.csv,(csv),DRYCO Construction,,(800) 378-2177,phone_only,MISSING,no_col,YES,ok,Sacramento,
Partnership_Outreach_Sacramento_2026-07-05.csv,(csv),Future Isuzu Truck Center,,(916) 349-3360,phone_only,MISSING,no_col,YES,ok,Sacramento,
Tow_Truck_Prospects_Oakland_2026-01-31.csv,(csv),EB Towing,,(510) 992-4030,phone_only,MISSING,no_col,YES,ok,Oakland,
Tow_Truck_Prospects_Oakland_2026-01-31.csv,(csv),Tow Doctors,,(510) 575-3677,phone_only,MISSING,no_col,YES,ok,Oakland,
Tow_Truck_Prospects_Oakland_2026-01-31.csv,(csv),Toro Road Runners,,(510) 465-8676,phone_only,MISSING,no_col,YES,ok,Oakland,
Tow_Truck_Prospects_Oakland_2026-01-31.csv,(csv),Emergency Towing,,(510) 534-5190,phone_only,MISSING,no_col,YES,ok,Oakland,
Tow_Truck_Prospects_Oakland_2026-01-31.csv,(csv),Rocket Towing,,(510) 228-0842,phone_only,MISSING,no_col,YES,ok,Oakland,
Tow_Truck_Prospects_Oakland_2026-01-31.csv,(csv),V&U Towing,,(510) 206-3085,phone_only,MISSING,no_col,YES,ok,Oakland,
Tow_Truck_Prospects_Oakland_2026-01-31.csv,(csv),Micki's Towing,,(510) 436-6300,phone_only,MISSING,no_col,YES,ok,Oakland,
Tow_Truck_Prospects_Oakland_2026-01-31.csv,(csv),Andy's Towing,,(510) 995-0052,phone_only,MISSING,no_col,YES,ok,Oakland,
Tow_Truck_Prospects_Oakland_2026-01-31.csv,(csv),Auto Plus Towing,,(510) 261-8199,phone_only,MISSING,no_col,YES,ok,Oakland,
Tow_Truck_Prospects_Oakland_2026-01-31.csv,(csv),Affordable Towing,,(510) 394-7879,phone_only,MISSING,no_col,YES,ok,Oakland,
Tow_Truck_Prospects_Oakland_2026-01-31.csv,(csv),ZR Towing,,(510) 502-5568,phone_only,MISSING,no_col,YES,ok,Oakland,
Tow_Truck_Prospects_Oakland_2026-01-31.csv,(csv),Economy Towing,,(408) 923-6212,phone_only,MISSING,no_col,YES,ok,Milpitas,
Tow_Truck_Prospects_Oakland_2026-01-31.csv,(csv),Town Business Towing,,(510) 990-1652,phone_only,MISSING,no_col,YES,ok,Oakland,
